,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,4165.25,3107.25,3235.5,3203.75,2850.75,3395.75,3706.5,3239.0,3321.25,3172.5,2662.5,3531.0,2815.5,3910.5,4247.25,3938.5,3231.0,3877.75,1
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,3796.5,3182.25,3195.5,3235.0,2715.5,2607.5,3813.0,3685.75,3272.5,2525.25,3025.0,3523.5,3331.0,3272.25,3839.5,4072.5,3135.5,4121.75,1
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,4291.5,3284.5,3260.25,3263.75,2478.25,2915.5,3699.5,3285.0,3859.25,4525.75,3058.5,3372.75,2500.5,3441.75,3869.25,3956.5,3197.0,3959.5,1
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,3960.5,3065.75,3235.5,3346.5,3422.75,3505.5,3428.25,2868.5,3621.25,2706.5,3216.25,3563.75,3282.5,3666.5,4147.25,3609.25,3648.5,3802.5,1
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,4745.25,3571.5,3125.5,3002.75,3447.5,3505.5,3572.25,2868.5,3655.5,3172.5,3554.5,3205.75,3601.5,3211.25,4147.25,3576.5,3264.75,3912.5,1
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,4779.5,2907.0,3303.5,3235.0,2661.0,2738.75,3813.0,3085.75,2945.25,2837.75,3025.0,3324.75,3331.0,3605.0,4145.5,4182.5,3135.5,3877.75,1
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,4676.25,2528.75,3377.25,3178.5,2714.5,2708.5,3849.25,3462.75,2843.25,3603.75,3150.75,3402.5,2784.25,3672.0,3938.25,4526.25,3205.75,4087.5,1
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,4366.75,3118.75,3328.25,3235.0,2553.0,2607.5,3847.25,2869.0,2945.25,3026.5,2840.25,3508.5,2810.5,3605.0,4181.5,3866.25,3169.75,3843.5,1
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,4345.5,3148.25,3134.5,2896.75,3313.5,3379.0,3705.0,3191.75,3583.5,2656.5,2662.5,3298.75,3597.5,3238.5,4111.25,3719.0,3377.75,3829.25,1
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,4232.75,3437.5,3808.5,3647.75,2800.75,3011.5,3434.25,2900.75,3179.5,3359.75,3715.5,4219.25,2655.0,3741.0,4112.25,3772.5,2980.5,3987.75,1
